numero,dni,nombre,apellido,millas
1233,37123678,Juan,Martinez,145
1234,33183678,Alberto,Escobar,5236
1235,35178674,Roberto,Miranda,1123
1236,36143677,Carlos,Gomez,534
1237,38153775,Mariana,Fernandez,1345
1238,39173673,Guadalupe,Rosales,2442
1239,30123674,Miguel,Di Pane,1346
1240,39173673,Mauro,Maza,2442
1241,30123674,Samuel,Luna,1346
1242,39173673,Matias,Morales,2442
1243,30123674,Graciela,BArrios,654
1244,39173673,Laura,Di Palma,756
1245,30123674,Tamara,Ontiveros,345
1246,35173673,Maria,Laplange,756
1247,3423674,Ricardo,Castro,345
1248,36523673,Eva,Dominguez,756
1249,37733474,Ana,Campos,345
1250,33174673,Liliana,Martin,756
1251,36197674,Ismael,Soto,345
1252,38133573,Francisco,Perez,756
